file|name|version|package|confidence|size_mb|methods_used
HappyCouchBurglars v1.0.0 (1).apk|HappyCouchBurglars|1.0.0|com.zeptolab.happycouchburglars|3|139.41|aapt, aapt_resources, manifest
HappyCouchBurglars v1.0.0.ipa|HappyCouchBurglars|1.0.0|com.zeptolab.happycouchburglars|4|72.9|main_plist, plutil
Idle Art v1.0.0 (1).ipa|Idle Art|1.0.0|com.zeptolab.idle-art|4|42.49|main_plist, plutil, alt_plist_2
Idle Art v1.0.0 (2).ipa|Idle Art|1.0.0|com.zeptolab.idle-art|4|49.67|main_plist, plutil, alt_plist_2
Idle Art v1.0.0 (3).ipa|Idle Art|1.0.0|com.zeptolab.idle-art|4|52.92|main_plist, plutil, alt_plist_2
HappyCouchBurglars v1.0.0.apk|HappyCouchBurglars|1.0.0|com.zeptolab.happycouchburglars|3|139.41|aapt, aapt_resources, manifest
Idle Art v1.0.0 (4).ipa|Idle Art|1.0.0|com.zeptolab.idle-art|4|53.01|main_plist, plutil, alt_plist_2
Fortress Pop v1.0.0.apk|Fortress Pop|1.0.0|com.zeptolab.fortresspop|3|89.65|aapt, aapt_resources, manifest
Idle Art v1.0.0.apk|Idle Art|1.0.0|com.zeptolab.idleart|3|137.32|aapt, aapt_resources, manifest
Idle Hunters 2 v1.0.4.apk|Idle Hunters 2|1.0.4|com.zeptolab.idlerpg.bow|3|59.97|aapt, aapt_resources, manifest
Idle Art v1.0.0.ipa|Idle Art|1.0.0|com.zeptolab.idle-art|4|40.48|main_plist, plutil, alt_plist_2
Idle Hunters 1 v1.1.2.apk|Idle Hunters 1|1.1.2|com.zeptolab.idlerpg|3|59.96|aapt, aapt_resources, manifest
Idle Hunters 1 v1.1.2.ipa|Idle Hunters 1|1.1.2|com.zeptolab.idlerpg|4|35.17|main_plist, plutil
Idle Racing v1.0.0 (1).ipa|Idle Racing|1.0.0|com.zeptolab.idle-racing|4|47.94|main_plist, plutil, alt_plist_2
Idle Hunters 2 v1.0.4.ipa|Idle Hunters 2|1.0.4|com.zeptolab.idlerpg.bow|4|35.17|main_plist, plutil
Idle Racing v1.0.0 (2).ipa|Idle Racing|1.0.0|com.zeptolab.idle-racing|4|47.94|main_plist, plutil, alt_plist_2
Idle Racing v1.0.0 (3).ipa|Idle Racing|1.0.0|com.zeptolab.idle-racing|4|47.94|main_plist, plutil, alt_plist_2
Idle Racing v1.0.0 (1).apk|Idle Racing|1.0.0|com.zeptolab.idleracing|3|42.17|aapt, aapt_resources, manifest
Idle Racing v1.0.0.ipa|Idle Racing|1.0.0|com.zeptolab.idle-racing|4|47.89|main_plist, plutil, alt_plist_2
Idle Racing v1.0.0.apk|Idle Racing|1.0.0|com.zeptolab.idleracing|3|42.11|aapt, aapt_resources, manifest
King of Sticks v0.1.0.ipa|King of Sticks|0.1.0|com.zeptolab.kingofsticks|4|23.44|main_plist, plutil
King of Sticks v0.1.0.apk|King of Sticks|0.1.0|com.zeptolab.kingofsticks|3|44.44|aapt, aapt_resources, manifest
Last Walker v0.1.0.ipa|Last Walker|0.1.0|com.zeptolab.walkermerge|4|20.51|main_plist, plutil, alt_plist_2
Last Walker v0.1.0.apk|Last Walker|0.1.0|com.zeptolab.walkermerge|3|38.66|aapt, aapt_resources, manifest
Idle Tiny Hunters v0.2.0.apk|Idle Tiny Hunters|0.2.0|com.zeptolab.idlerpg|3|90.41|aapt, aapt_resources, manifest
mergelife v0.0.1.ipa|mergelife|0.0.1|com.zeptolab.mergelife|4|25.15|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Necro Horde v0.1.0.ipa|Necro Horde|0.1.0|com.zeptolab.necrohorde|4|30.84|main_plist, plutil, alt_plist_2, alt_plist_3, alt_plist_4
Necro Horde v0.1.1.apk|Necro Horde|0.1.1|com.zeptolab.necrohorde|3|70.08|aapt, aapt_resources, manifest
mergelife v0.0.1.apk|mergelife|0.0.1|com.zeptolab.mergelife|3|48.58|aapt, aapt_resources, manifest
Necro Horde v0.1.0.apk|Necro Horde|0.1.0|com.zeptolab.necrohorde|3|50.64|aapt, aapt_resources, manifest
Motor Clash v0.1.0.apk|Motor Clash|0.1.0|com.zeptolab.motorclash|3|58.13|aapt, aapt_resources, manifest
Necro Horde v0.1.1.ipa|Necro Horde|0.1.1|com.zeptolab.necrohorde|4|27.03|main_plist, plutil, alt_plist_2, alt_plist_3
Noodle Out v0.1.0.apk|Noodle Out|0.1.0|com.zeptolab.dragmeout|3|88.04|aapt, aapt_resources, manifest
OC Arena v0.5.23.apk|OC Arena|0.5.23|com.pantelisdev.ocarena|3|123.71|aapt, aapt_resources, manifest
OmNom Verse v1.0.3 (1).ipa|OmNom Verse|1.0.3|com.zeptolab.omnomverse|4|25.54|main_plist, plutil, alt_plist_2
Om Nom Run 2 v3.0.18.apk|Om Nom Run 2|3.0.18|com.zeptolab.OmNomRun2.parkour|3|88.65|aapt, aapt_resources, manifest
OmNomFarm v0.1.11.apk|OmNomFarm|0.1.11|com.DefaultCompany.OmNomFarm|3|72.06|aapt, aapt_resources, manifest
OmNomMagicCandies v1.0.ipa|OmNomMagicCandies|1.0|com.zeptolab.OmNomMagicCandies|4|185.77|main_plist, plutil
OmNom Verse v1.0.3.ipa|OmNom Verse|1.0.3|com.zeptolab.omnomverse|4|25.54|main_plist, plutil, alt_plist_2
OnSweetDreams v1.0.ipa|OnSweetDreams|1.0|com.zeptolab.OnSweetDreams|4|95.16|main_plist, plutil
OmNomMagicCandies v1.0.apk|OmNomMagicCandies|1.0|com.zeptolab.OmNomMagicCandies|3|200.6|aapt, aapt_resources, manifest
OnSweetDreams v1.0.apk|OnSweetDreams|1.0|com.zeptodev.onsweetdreams|3|96.69|aapt, aapt_resources, manifest
Overcrowded Dungeons v1.0.0 (2).ipa|Overcrowded Dungeons|1.0.0|com.zeptolab.overcrowded-dungeons|4|51.5|main_plist, plutil
